method,n_sim,time,n_sim_raw,time_raw,epsilon,kl_sigma2,score_joint,kl_sigma2_true_vs_abc,kl_mu_avg,w2_sigma2,w2_mu_avg,sw2_joint,K,K_outliers,include_osum,seed
ABC-SMC,658791.9708029197,0.8545442219198185,7220360.0,9.365804672241211,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,660302.9197080293,0.8554676588434372,7236920.0,9.375925540924072,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,660608.378870674,0.8548171576689284,7253480.0,9.385892391204834,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,662116.5755919855,0.8557381091439225,7270040.0,9.396004438400269,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,663624.7723132969,0.856629095442308,7286600.0,9.405787467956543,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,665132.9690346083,0.8575879376659845,7303160.0,9.41631555557251,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,666641.1657559198,0.8585352063830433,7319720.0,9.426716566085815,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,668149.3624772313,0.859440198144409,7336280.0,9.43665337562561,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,669657.5591985428,0.8603238885737073,7352840.0,9.446356296539307,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,671165.7559198543,0.8611936603956101,7369400.0,9.455906391143799,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,671450.9090909092,0.8605202328075061,7385960.0,9.465722560882568,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,670518.1159420289,0.8583083100940869,7402520.0,9.47572374343872,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,672018.1159420289,0.8592074763947638,7419080.0,9.485650539398193,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,673518.1159420289,0.8601213494936624,7435640.0,9.495739698410034,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,675018.1159420289,0.8610103009403615,7452200.0,9.505553722381592,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,676518.1159420289,0.8619088409603505,7468760.0,9.51547360420227,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,678018.1159420289,0.8627852883891781,7485320.0,9.525149583816528,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,679518.1159420289,0.8637081237806788,7501880.0,9.535337686538696,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,679786.6184448464,0.8631492394004119,7518440.0,9.546430587768555,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,681283.9059674504,0.8640340611904482,7535000.0,9.556216716766357,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
ABC-SMC,682781.1934900542,0.8649979103322917,7551560.0,9.566876888275146,9.185427812179915,-1.4561636059075208e-09,16271.88478140259,24.99148362733049,8.472065103461247,10.098848327776759,10.854269496043216,11.90396758578191,20,4,False,42
