method,n_sim,time,epsilon,kl_sigma2,kl_joint,K,K_outliers,include_osum,seed
ABC-SMC,593568.1818181819,165.12251367623156,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,596437.5000000001,165.1426076889038,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,592573.0337078652,163.30796118532675,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,592083.7988826815,162.41498492949503,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,594905.0279329609,162.43502341169219,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,594405.5555555557,161.55214382542508,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,597211.1111111112,161.5710646576352,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,600016.6666666667,161.58992217646707,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,596197.8021978022,159.83306641107077,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,595699.4535519126,158.97873405550348,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,595206.5217391305,158.13393223544827,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,597951.0869565218,158.15271858287898,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,591058.8235294117,155.63400492948645,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,587476.1904761904,154.00521755218506,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,577917.0984455958,150.99663475016854,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,580533.6787564766,151.01578525928633,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,577169.2307692308,149.48466796141403,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,576801.0204081632,148.73968241166097,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,579377.5510204082,148.7573974594778,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,576075.7575757576,147.27208560163325,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,578626.2626262626,147.28929918221752,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,581176.7676767677,147.30667821084612,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,583727.2727272727,147.3239044950466,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,586277.7777777779,147.34162796627393,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,588828.2828282828,147.35873407787747,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,588407.0351758793,146.63568992710591,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,585064.6766169154,145.19396213749746,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,587577.1144278606,145.21108450581184,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,584275.8620689654,143.7971644800872,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,578218.4466019417,141.72021625111404,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,577864.734299517,141.05347389184334,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,574751.1961722488,139.72084944328054,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,577167.4641148326,139.73736905595334,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,576823.8095238095,139.08876566659836,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,576483.4123222749,138.44596469571803,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,578876.7772511849,138.46249936316252,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,581270.1421800948,138.47930171478416,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,580910.3773584906,137.84267008304596,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,577841.1214953271,136.57062220796246,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,577502.3255813953,135.9514920656071,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,579851.1627906977,135.9671667010285,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,579504.6296296297,135.35367449124655,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,581842.5925925926,135.36938301942965,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,584180.5555555555,135.38524155263548,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,583815.6682027649,134.7771470997191,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,586142.8571428572,134.79383304921163,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,585770.6422018349,134.19145520673982,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,585401.8264840182,133.5942894356436,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,587707.7625570777,133.6105017357221,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,587331.8181818182,133.01923285831106,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,589627.2727272727,133.03485507314855,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,591922.7272727272,133.05063578215513,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,594218.1818181819,133.06631695140493,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,596513.6363636364,133.08189809322357,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,598809.0909090908,133.09742250225761,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,601104.5454545455,133.11306314034897,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,603400.0,133.12877584587443,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,602954.7511312218,132.54216078719404,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,605239.8190045248,132.55780811223508,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,607524.886877828,132.57384456660412,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
ABC-SMC,607063.0630630631,131.9922887527191,6.433304647638146,23.873870723492185,21.318075510697515,20,0,False,43
