method,n_sim,time,epsilon,K,K_outliers,include_osum,seed
ABC-SMC,545762.7118644068,39.22165490813175,9.062128536773425,20,4,True,0
ABC-SMC,543663.8655462185,38.90277482882267,9.062128536773425,20,4,True,0
ABC-SMC,543866.108786611,38.750702566681554,9.062128536773425,20,4,True,0
ABC-SMC,544066.6666666667,38.600052346785866,9.062128536773425,20,4,True,0
ABC-SMC,546533.3333333333,38.610660433769226,9.062128536773425,20,4,True,0
ABC-SMC,549000.0,38.62145622571309,9.062128536773425,20,4,True,0
ABC-SMC,551466.6666666667,38.63234599431356,9.062128536773425,20,4,True,0
ABC-SMC,549355.3719008265,38.32367037938646,9.062128536773425,20,4,True,0
ABC-SMC,551801.652892562,38.33417163407507,9.062128536773425,20,4,True,0
ABC-SMC,549704.9180327868,38.03039847827348,9.062128536773425,20,4,True,0
ABC-SMC,549877.5510204082,37.88571990266138,9.062128536773425,20,4,True,0
ABC-SMC,545612.9032258064,37.43769310174449,9.062128536773425,20,4,True,0
ABC-SMC,545799.1967871486,37.29758051983323,9.062128536773425,20,4,True,0
ABC-SMC,545984.0,37.15857381820679,9.062128536773425,20,4,True,0
ABC-SMC,548352.0,37.168714666366576,9.062128536773425,20,4,True,0
ABC-SMC,548525.8964143426,37.03073714358873,9.062128536773425,20,4,True,0
ABC-SMC,548698.4126984127,36.89397909338512,9.062128536773425,20,4,True,0
ABC-SMC,548869.5652173912,36.758263968667485,9.062128536773425,20,4,True,0
ABC-SMC,551209.4861660078,36.76842785635484,9.062128536773425,20,4,True,0
ABC-SMC,551370.0787401575,36.63365160386393,9.062128536773425,20,4,True,0
ABC-SMC,553700.7874015748,36.643728355723105,9.062128536773425,20,4,True,0
ABC-SMC,556031.4960629921,36.6538474409599,9.062128536773425,20,4,True,0
ABC-SMC,556172.5490196078,36.52029584435856,9.062128536773425,20,4,True,0
ABC-SMC,556312.5,36.38768410310149,9.062128536773425,20,4,True,0
ABC-SMC,554294.5736434109,36.11547124478244,9.062128536773425,20,4,True,0
ABC-SMC,556589.1472868217,36.12538114074589,9.062128536773425,20,4,True,0
ABC-SMC,552459.7701149425,35.71990531979849,9.062128536773425,20,4,True,0
ABC-SMC,546354.716981132,35.19035577774048,9.062128536773425,20,4,True,0
ABC-SMC,544479.4007490636,34.93638342239437,9.062128536773425,20,4,True,0
ABC-SMC,546696.6292134831,34.94578774055738,9.062128536773425,20,4,True,0
ABC-SMC,548913.8576779026,34.955247332540786,9.062128536773425,20,4,True,0
ABC-SMC,551131.0861423222,34.964717907852,9.062128536773425,20,4,True,0
ABC-SMC,553348.3146067417,34.97428755635179,9.062128536773425,20,4,True,0
ABC-SMC,553492.5373134329,34.85329676030287,9.062128536773425,20,4,True,0
ABC-SMC,553635.6877323419,34.73326238114594,9.062128536773425,20,4,True,0
ABC-SMC,555836.4312267657,34.74270566245437,9.062128536773425,20,4,True,0
ABC-SMC,555970.3703703703,34.62351269192166,9.062128536773425,20,4,True,0
ABC-SMC,558162.962962963,34.63291883468628,9.062128536773425,20,4,True,0
ABC-SMC,558287.8228782287,34.51450662859252,9.062128536773425,20,4,True,0
ABC-SMC,560472.3247232472,34.523832622049476,9.062128536773425,20,4,True,0
ABC-SMC,560588.2352941177,34.40634358455153,9.062128536773425,20,4,True,0
ABC-SMC,558656.9343065694,34.164465691921485,9.062128536773425,20,4,True,0
ABC-SMC,554743.6823104692,33.80369481627261,9.062128536773425,20,4,True,0
ABC-SMC,556880.8664259927,33.81295165430337,9.062128536773425,20,4,True,0
ABC-SMC,555010.752688172,33.58035647313655,9.062128536773425,20,4,True,0
ABC-SMC,555142.857142857,33.469640229429515,9.062128536773425,20,4,True,0
ABC-SMC,553304.964539007,33.241397438319865,9.062128536773425,20,4,True,0
ABC-SMC,555404.2553191489,33.25053199808648,9.062128536773425,20,4,True,0
ABC-SMC,553577.4647887325,33.02534407293293,9.062128536773425,20,4,True,0
ABC-SMC,555661.9718309859,33.03424426367585,9.062128536773425,20,4,True,0
ABC-SMC,557746.4788732395,33.04310990890986,9.062128536773425,20,4,True,0
ABC-SMC,552055.5555555555,32.593011152413155,9.062128536773425,20,4,True,0
ABC-SMC,552193.7716262977,32.489090353559874,9.062128536773425,20,4,True,0
ABC-SMC,554242.2145328721,32.49777340971475,9.062128536773425,20,4,True,0
ABC-SMC,554372.4137931034,32.394424759108446,9.062128536773425,20,4,True,0
ABC-SMC,554501.7182130585,32.29191266384321,9.062128536773425,20,4,True,0
ABC-SMC,554630.1369863014,32.19001979044039,9.062128536773425,20,4,True,0
ABC-SMC,556657.5342465753,32.198743910005646,9.062128536773425,20,4,True,0
ABC-SMC,558684.9315068494,32.20734837120526,9.062128536773425,20,4,True,0
ABC-SMC,556897.9591836735,31.9969490677321,9.062128536773425,20,4,True,0
ABC-SMC,558911.5646258504,32.00554361148757,9.062128536773425,20,4,True,0
ABC-SMC,559023.7288135594,31.905722779742746,9.062128536773425,20,4,True,0
ABC-SMC,561030.5084745763,31.914349006394215,9.062128536773425,20,4,True,0
ABC-SMC,559245.7912457914,31.708029785541576,9.062128536773425,20,4,True,0
ABC-SMC,561239.0572390573,31.716550159133252,9.062128536773425,20,4,True,0
ABC-SMC,561342.2818791947,31.618721093107393,9.062128536773425,20,4,True,0
ABC-SMC,561444.8160535118,31.521441266688225,9.062128536773425,20,4,True,0
ABC-SMC,563424.7491638797,31.529946111915105,9.062128536773425,20,4,True,0
ABC-SMC,565404.6822742475,31.53841571265639,9.062128536773425,20,4,True,0
ABC-SMC,565493.3333333334,31.441729823748272,9.062128536773425,20,4,True,0
ABC-SMC,567466.6666666667,31.45006616910299,9.062128536773425,20,4,True,0
ABC-SMC,567548.172757475,31.353986342483978,9.062128536773425,20,4,True,0
ABC-SMC,569514.950166113,31.362302279551557,9.062128536773425,20,4,True,0
